2010_avg_ridership,2011_avg_ridership,2013_avg_ridership,2014_avg_ridership,borough,change_from_2013,closed_2014,prc_change_from_2013,station_trains
778,845,379,677,Queens,298,Yes,78.63,"Rockaway Park-Beach 116 St (A,S)"
478,748,297,581,Queens,284,Yes,95.62,Beach 44 St (A)
503,615,292,563,Queens,271,Yes,92.81,"Beach 98 St (A,S)"
208,255,141,260,Queens,119,Yes,84.4,"Beach 105 St (A,S)"
318,304,127,251,Queens,124,Yes,97.64,"Broad Channel (A,S)"
0,0,0,0,Manhattan,0,Yes,0.0,Cortlandt St (1)
182170,189426,197696,204908,Manhattan,7212,,3.65,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)"
144350,147644,153861,157899,Manhattan,4038,,2.62,"Grand Central-42 St (S,4,5,6,7)"
120764,121081,122517,125355,Manhattan,2838,,2.32,"34 St-Herald Square (B,D,F,M,N,Q,R)"
106380,107352,108158,109472,Manhattan,1314,,1.21,"14 St-Union Sq (L,N,Q,R,4,5,6)"
87736,87482,90042,92693,Manhattan,2651,,2.94,"34 St-Penn Station (1,2,3)"
80009,81585,83717,85634,Manhattan,1917,,2.29,"34 St-Penn Station (A,C,E)"
66058,67901,72236,74572,Manhattan,2336,,3.23,"59 St-Columbus Circle (A,B,C,D,1)"
62774,66045,69973,70606,Manhattan,633,,0.9,"Lexington Av-53 St (E,M)/51 St (6)"
64287,63203,64461,69444,Manhattan,4983,,7.73,"Fulton St (A,C,J,Z,2,3,4,5)"
63138,65855,67841,69332,Manhattan,1491,,2.2,"Lexington Av (N,Q,R)/59 St (4,5,6)"
60965,62214,64741,65634,Manhattan,893,,1.38,"86 St (4,5,6)"
56758,59979,61099,62693,Manhattan,1594,,2.61,"47-50 Sts-Rockefeller Center (B,D,F,M)"
59093,60184,60190,60252,Queens,62,,0.1,Flushing-Main St (7)
50671,53178,53426,55683,Manhattan,2257,,4.22,"Chambers St (A,C)/WTC (E)/Park Place (2,3)"
47741,50375,53222,54289,Manhattan,1067,,2.0,"42 St-Bryant Pk (B,D,F,M)/5 Av (7)"
49216,49828,50841,51285,Queens,444,,0.87,"74-Bway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)"
47204,47831,49316,49990,Manhattan,674,,1.37,"14 St (F,M,1,2,3)/6 Av (L)"
46435,45700,44696,44362,Manhattan,334,,-0.75,"Canal St (J,N,Q,R,Z,6)"
36777,38802,42718,43953,Manhattan,1235,,2.89,"14 St (A,C,E)/8 Av (L)"
39327,40423,41686,42261,Queens,575,,1.38,"Jamaica Center-Parsons-Archer (E,J,Z)"
37175,37873,40798,41968,Manhattan,1170,,2.87,"West 4 St-Washington Sq (A,B,C,D,E,F,M)"
32497,33160,39871,41645,Brooklyn,1774,,4.45,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)"
35884,38037,40183,41405,Brooklyn,1222,,3.04,"Jay St-MetroTech (A,C,F,R)"
36900,39180,40853,40639,Manhattan,214,,-0.52,"72 St (1,2,3)"
34191,36301,38799,40148,Manhattan,1349,,3.48,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)"
35053,36550,38711,39254,Manhattan,543,,1.4,"96 St (1,2,3)"
38057,38026,38428,38944,Brooklyn,516,,1.34,"Court St (R)/Borough Hall (2,3,4,5)"
35579,36607,37182,37521,Manhattan,339,,0.91,77 St (6)
36939,36350,36680,37160,Manhattan,480,,1.31,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)"
